11,72,60,68
89,9,92,51
34,35,98,18
98,23,96,43
84,7,92,19
93,21,92,43
78,90,91,53
69,100,98,77
98,77,88,53
74,80,90,53
77,4,92,46
82,3,88,15
33,82,41,75
58,76,90,66
86,80,92,51
100,100,94,28
35,81,26,87
67,56,91,10
88,18,79,43
75,62,92,28
83,83,92,61
86,35,91,53
83,96,94,42
37,34,67,69
52,60,23,75
25,87,89,51
69,1,90,19
94,23,89,38
85,90,94,42
52,92,84,66
84,66,91,41
32,34,80,68
86,63,93,63
64,79,71,78
85,20,96,26
84,82,94,43
74,83,92,60
96,23,88,41
85,83,80,68
76,65,91,81
90,94,88,63
100,0,96,60
37,98,81,78
87,77,93,47
92,72,98,44
82,31,93,62
73,33,89,35
94,23,94,40
63,23,80,65
83,94,92,41
97,77,93,57
70,36,86,35
93,94,95,43
92,78,89,49
81,8,94,20
94,20,92,46
76,78,76,63
89,82,93,43
67,20,81,33
78,21,84,48
99,72,98,53
100,0,93,57
97,20,96,53
100,0,98,46
37,94,74,81
70,76,87,36
70,17,90,31
63,19,85,18
90,28,91,48
94,75,97,43
63,80,87,86
67,18,92,19
89,7,97,60
72,19,84,50
71,83,91,47
75,11,85,54
74,82,94,35
90,77,97,40
95,10,94,42
82,61,95,51
79,33,93,62
76,22,77,40
100,0,95,37
81,82,90,64
75,74,93,40
86,80,91,61
60,52,76,51
80,28,90,49
80,28,97,64
24,16,74,40
69,56,83,58
10,93,94,56
77,93,94,41
73,46,84,36
93,18,87,48
84,95,97,60
86,7,92,58
73,8,90,56
76,87,93,54
96,28,97,56
83,75,95,39
80,37,88,39
99,12,93,48
64,74,84,83
80,64,94,63
94,63,98,41
91,36,94,56
77,60,85,66
90,9,80,22
56,80,84,56
92,18,93,50
88,62,83,49
82,98,94,37
88,7,92,48
100,0,94,60
100,0,96,50
81,40,88,35
100,0,92,56
51,57,78,35
81,72,87,48
66,41,88,25
49,49,79,64
87,84,83,60
22,55,69,61
81,78,94,76
93,25,92,63
83,22,94,55
76,49,86,73
59,56,74,29
90,0,94,49
100,100,96,47
100,100,90,50
93,72,92,61
44,1,80,23
62,68,83,60
47,8,81,35
80,76,87,80
84,63,90,47
79,29,82,50
64,27,92,65
82,100,90,43
62,49,87,20
66,50,82,62
47,47,66,30
93,72,97,50
94,68,98,43
90,16,94,56
84,18,98,58
100,100,94,50
95,57,94,44
83,62,90,41
6,56,69,20
78,37,90,61
90,61,93,48
78,65,90,76
81,46,90,61
56,23,76,20
88,25,87,50
59,57,73,50
87,25,93,35
93,53,78,20
83,19,93,52
92,58,96,41
85,7,95,58
86,50,96,39
98,72,89,50
68,40,81,63
82,78,95,63
81,10,91,65
6,84,91,57
67,54,81,43
37,36,84,44
74,35,91,39
100,100,92,44
76,23,91,35
87,35,93,54
47,64,79,49
74,76,83,61
93,65,96,46
64,36,80,37
93,35,90,43
94,10,92,43
98,33,97,56
100,100,94,40
94,17,91,56
90,82,93,50
67,79,92,75
76,86,90,53
100,73,94,47
82,47,89,55
92,65,88,62
74,83,90,52
76,78,87,74
80,50,93,51
93,17,95,55
96,82,94,48
83,18,95,57
99,35,94,56
72,76,82,61
80,20,90,19
91,80,86,51
72,65,86,38
52,57,70,42
55,17,76,30
65,92,72,66
69,52,94,58
91,66,98,46
100,100,94,41
91,83,83,56
2,43,81,23
69,50,75,22
83,37,78,50
93,14,91,38
92,82,97,43
85,38,91,35
74,39,81,62
38,53,73,68
91,63,94,48
97,40,96,60
93,72,96,46
55,50,84,89
84,78,90,53
78,38,85,56
90,72,93,58
88,68,94,50
94,89,93,58
78,32,80,42
29,77,93,56
66,38,91,54
80,79,98,67
98,67,92,58
74,6,100,15
90,87,93,55
44,25,87,36                                               ,,,
80,31,94,56
86,15,92,50
59,80,74,32
6,54,68,76
68,76,85,64
88,86,94,36
100,100,94,53
85,56,92,63
16,53,44,78
90,42,92,64
93,32,91,45
56,57,81,68
87,66,83,62
97,23,92,58
56,56,90,66
41,99,80,74
80,53,89,36
94,56,93,50
92,22,96,45
65,81,81,65
83,96,94,50
98,22,97,55
78,62,93,62
50,75,76,71
74,15,90,48
90,48,88,37
79,52,91,61
93,20,88,36
78,16,85,35
86,12,97,29
97,29,93,37
86,93,93,59
96,18,93,54
89,22,93,60
100,100,97,50
84,16,94,54
60,61,82,43
88,83,93,47
80,65,92,58
73,98,89,60
